Ratio,Temperature,Concentration,Conductivity
2.0,20.0,0.45568,5.12776
2.0,20.0,0.62359,6.13795
2.0,20.0,0.77004,6.72143
2.0,20.0,0.91702,7.11331
2.0,20.0,1.1139,7.36586
2.0,20.0,1.40572,7.2091
2.0,20.0,1.59401,6.9043
2.0,30.0,0.45676,5.8854
2.0,30.0,0.62359,7.09589
2.0,30.0,0.76896,7.83612
2.0,30.0,0.91702,8.3238
2.0,30.0,1.1139,8.67214
2.0,30.0,1.40304,8.68956
2.0,30.0,1.59562,8.37605
3.0,20.0,1.61533,6.89046
3.0,20.0,1.41531,7.48857
3.0,20.0,1.26383,7.79196
3.0,20.0,1.11074,7.99133
3.0,20.0,0.91606,8.07801
3.0,20.0,0.76084,7.73995
3.0,20.0,0.6147,7.37589
3.0,20.0,0.44615,6.41371
3.0,30.0,0.44241,7.48857
3.0,30.0,0.6163,8.61545
3.0,30.0,0.76298,9.06619
3.0,30.0,0.91606,9.6643
3.0,30.0,1.11288,9.60362
3.0,30.0,1.26596,9.49094
3.0,30.0,1.41744,9.10087
3.0,30.0,1.61213,8.58944
4.0,20.0,0.43199,7.01523
4.0,20.0,0.6069,7.99355
4.0,20.0,0.75668,8.41283
4.0,20.0,0.88933,8.48271
4.0,20.0,1.07816,8.22315
4.0,20.0,1.21777,8.0235
4.0,20.0,1.33491,7.66411
4.0,20.0,1.57402,6.8555
4.0,30.0,0.43199,8.15327
4.0,30.0,0.60476,9.3612
4.0,30.0,0.75882,9.95019
4.0,30.0,0.89308,10.17979
4.0,30.0,1.07976,10.07996
4.0,30.0,1.21402,9.91026
4.0,30.0,1.33491,9.56086
4.0,30.0,1.57402,8.74226
5.0,20.0,0.57487,7.74051
5.0,20.0,0.76445,8.4535
5.0,20.0,1.00301,8.53906
5.0,20.0,1.24856,8.32992
5.0,20.0,1.41651,7.93064
5.0,20.0,1.63599,7.29371
5.0,20.0,1.87455,6.47615
5.0,20.0,2.16082,5.42092
5.0,30.0,0.57487,7.74051
5.0,30.0,0.76445,8.4535
5.0,30.0,1.00301,8.53906
5.0,30.0,1.24856,8.32992
5.0,30.0,1.41651,7.93064
5.0,30.0,1.63599,7.29371
5.0,30.0,1.87455,6.47615
5.0,30.0,2.16082,5.42092
